ad_id,date,spend,impressions,clicks,installs,CTR,CPI,CPM,CPC,CVR,thumbstop_rate,hold_rate,completion_rate,card_swipe_rate,last_card_reach_rate,video_plays_25pct,video_plays_75pct,avg_play_time_sec,likes,comments,shares,saves
ad_001,2026-04-15,203.76,24631,964,230,0.03914,0.8859,8.2724,0.2114,0.23859,0.3866,0.5288,0.6451,,,7087,3510,21.27,,,,
ad_001,2026-04-16,225.44,26013,1219,291,0.04686,0.7747,8.6663,0.1849,0.23872,0.3657,0.4881,0.6509,,,7442,4013,17.74,,,,
ad_001,2026-04-17,251.64,29716,1203,261,0.04048,0.9642,8.4683,0.2092,0.21696,0.4012,0.5714,0.5990,,,8172,4288,22.60,,,,
ad_001,2026-04-18,195.12,25594,971,224,0.03794,0.8711,7.6238,0.2010,0.23069,0.3999,0.5381,0.6242,,,7279,4216,20.77,,,,
ad_001,2026-04-19,170.68,20714,968,220,0.04673,0.7758,8.2397,0.1763,0.22727,0.3506,0.5197,0.6101,,,6473,3725,20.97,,,,
ad_001,2026-04-20,258.81,31012,1458,334,0.04701,0.7749,8.3455,0.1775,0.22908,0.3696,0.5090,0.6419,,,9177,5013,19.71,,,,
ad_001,2026-04-21,282.42,31836,1492,328,0.04687,0.8610,8.8709,0.1893,0.21984,0.3838,0.5325,0.6218,,,8566,4352,20.11,,,,
ad_001,2026-04-22,252.62,30595,1305,283,0.04265,0.8927,8.2569,0.1936,0.21686,0.3690,0.5557,0.6007,,,8621,4325,20.51,,,,
ad_001,2026-04-23,305.11,36161,1458,307,0.04032,0.9938,8.4375,0.2093,0.21056,0.3656,0.5468,0.6289,,,10542,6148,20.39,,,,
ad_001,2026-04-24,156.71,17523,716,170,0.04086,0.9218,8.9433,0.2189,0.23743,0.3877,0.4957,0.6285,,,4514,2304,18.14,,,,
ad_001,2026-04-25,175.43,20994,932,220,0.04439,0.7974,8.3563,0.1882,0.23605,0.3913,0.5225,0.5917,,,5715,2771,20.23,,,,
ad_001,2026-04-26,242.78,31315,1535,325,0.04902,0.7470,7.7530,0.1582,0.21173,0.3523,0.5099,0.6713,,,9379,5808,18.71,,,,
ad_001,2026-04-27,315.19,36289,1663,320,0.04583,0.9850,8.6857,0.1895,0.19242,0.3856,0.5082,0.5572,,,9652,5114,19.68,,,,
ad_001,2026-04-28,248.90,29035,1378,334,0.04746,0.7452,8.5723,0.1806,0.24238,0.3754,0.5345,0.6375,,,9268,5439,20.14,,,,
ad_001,2026-04-29,233.03,25257,1093,249,0.04328,0.9359,9.2265,0.2132,0.22781,0.3791,0.5263,0.6567,,,6452,3619,20.06,,,,
ad_001,2026-04-30,268.77,29342,1389,280,0.04734,0.9599,9.1598,0.1935,0.20158,0.3884,0.5331,0.6734,,,9266,4968,20.63,,,,
ad_001,2026-05-01,285.62,40053,1881,357,0.04696,0.8001,7.1311,0.1518,0.18979,0.3984,0.5733,0.6253,,,10864,5875,23.65,,,,
ad_001,2026-05-02,265.54,32495,1333,251,0.04102,1.0579,8.1717,0.1992,0.18830,0.3815,0.5229,0.6667,,,9042,4988,19.79,,,,
ad_001,2026-05-03,218.11,26834,1346,316,0.05016,0.6902,8.1280,0.1620,0.23477,0.4093,0.5248,0.6121,,,8288,4503,21.02,,,,
ad_001,2026-05-04,364.22,42814,1958,373,0.04573,0.9765,8.5070,0.1860,0.19050,0.3898,0.5216,0.6683,,,12795,6565,19.17,,,,
ad_001,2026-05-05,276.01,33017,1471,311,0.04455,0.8875,8.3596,0.1876,0.21142,0.3805,0.5441,0.5970,,,10460,5599,20.12,,,,
ad_001,2026-05-06,314.47,41916,1671,306,0.03987,1.0277,7.5025,0.1882,0.18312,0.3863,0.5380,0.6423,,,11842,7271,21.08,,,,
ad_001,2026-05-07,362.85,49611,2144,428,0.04322,0.8478,7.3139,0.1692,0.19963,0.3884,0.5039,0.6579,,,15579,7218,21.91,,,,
ad_001,2026-05-08,294.36,34273,1676,332,0.04890,0.8866,8.5887,0.1756,0.19809,0.3945,0.5687,0.6636,,,10154,6143,21.83,,,,
ad_001,2026-05-09,296.58,35921,1609,285,0.04479,1.0406,8.2564,0.1843,0.17713,0.4095,0.5401,0.5495,,,10567,6218,23.06,,,,
ad_001,2026-05-10,253.94,30407,1345,280,0.04423,0.9069,8.3513,0.1888,0.20818,0.3857,0.5762,0.6752,,,9075,4810,23.62,,,,
ad_001,2026-05-11,331.77,46376,2011,429,0.04336,0.7734,7.1539,0.1650,0.21333,0.3719,0.6034,0.6823,,,15471,7814,22.54,,,,
ad_001,2026-05-12,264.22,33994,1530,303,0.04501,0.8720,7.7725,0.1727,0.19804,0.3699,0.5649,0.7092,,,10461,5674,19.59,,,,
ad_001,2026-05-13,359.89,45592,1773,329,0.03889,1.0939,7.8937,0.2030,0.18556,0.3889,0.5503,0.6302,,,13524,7742,22.22,,,,
ad_001,2026-05-14,363.58,36167,1732,296,0.04789,1.2283,10.0528,0.2099,0.17090,0.4124,0.5974,0.5941,,,11650,5954,22.68,,,,
ad_001,2026-05-15,303.72,40861,1848,379,0.04523,0.8014,7.4329,0.1643,0.20509,0.3912,0.6247,0.5644,,,12110,7032,23.46,,,,
ad_001,2026-05-16,278.77,37550,1830,318,0.04874,0.8766,7.4238,0.1523,0.17377,0.3985,0.5530,0.6510,,,11201,5992,22.51,,,,
ad_001,2026-05-17,337.53,41455,1895,328,0.04571,1.0291,8.1422,0.1781,0.17309,0.3844,0.5182,0.6534,,,13294,7134,20.82,,,,
ad_001,2026-05-18,344.25,48302,2262,398,0.04683,0.8649,7.1270,0.1522,0.17595,0.3500,0.5768,0.6909,,,13523,7907,20.90,,,,
ad_001,2026-05-19,325.32,37293,1544,260,0.04140,1.2512,8.7234,0.2107,0.16839,0.3738,0.5161,0.6287,,,11318,6980,21.06,,,,
ad_001,2026-05-20,413.34,49984,2072,384,0.04145,1.0764,8.2694,0.1995,0.18533,0.3701,0.6164,0.6180,,,13300,7681,23.63,,,,
ad_001,2026-05-21,347.93,45668,2193,417,0.04802,0.8344,7.6187,0.1587,0.19015,0.3313,0.5251,0.6425,,,14861,8768,22.00,,,,
ad_001,2026-05-22,372.77,44713,2015,342,0.04507,1.0900,8.3369,0.1850,0.16973,0.3836,0.5803,0.7027,,,12983,6864,19.88,,,,
ad_001,2026-05-23,297.82,32844,1242,205,0.03782,1.4528,9.0679,0.2398,0.16506,0.3835,0.5651,0.6530,,,10047,5680,22.39,,,,
ad_001,2026-05-24,316.02,45635,1876,292,0.04111,1.0823,6.9250,0.1685,0.15565,0.3964,0.6082,0.6196,,,13598,7994,25.46,,,,
ad_001,2026-05-25,340.83,44743,2106,384,0.04707,0.8876,7.6176,0.1618,0.18234,0.4133,0.5871,0.6226,,,12496,7517,24.38,,,,
ad_001,2026-05-26,365.84,47518,2006,390,0.04222,0.9381,7.6991,0.1824,0.19442,0.3595,0.5572,0.6344,,,14788,9718,21.40,,,,
ad_001,2026-05-27,410.68,66468,3175,552,0.04777,0.7440,6.1787,0.1293,0.17386,0.3773,0.5462,0.6125,,,20266,11566,20.97,,,,
ad_001,2026-05-28,361.95,40526,1851,303,0.04567,1.1946,8.9313,0.1955,0.16370,0.3562,0.5295,0.6586,,,13568,7132,20.07,,,,
ad_001,2026-05-29,433.00,54161,2581,438,0.04765,0.9886,7.9946,0.1678,0.16970,0.3725,0.6176,0.6400,,,15895,9327,23.75,,,,
ad_002,2026-03-01,24.56,2819,57,7,0.02022,3.5087,8.7126,0.4309,0.12281,,,,,,,,,13,1,3,2
ad_002,2026-03-02,37.87,4419,97,14,0.02195,2.7050,8.5697,0.3904,0.14433,,,,,,,,,18,1,3,2
ad_002,2026-03-03,35.75,3980,85,11,0.02136,3.2497,8.9815,0.4205,0.12941,,,,,,,,,17,1,2,2
ad_002,2026-03-04,30.08,4164,82,13,0.01969,2.3142,7.2248,0.3669,0.15854,,,,,,,,,16,1,3,1
ad_002,2026-03-05,34.22,3416,74,10,0.02166,3.4219,10.0173,0.4624,0.13514,,,,,,,,,17,1,3,1
ad_002,2026-03-06,28.15,3316,66,10,0.01990,2.8155,8.4906,0.4266,0.15152,,,,,,,,,14,1,2,2
ad_002,2026-03-07,32.12,3749,70,10,0.01867,3.2121,8.5678,0.4589,0.14286,,,,,,,,,17,1,3,2
ad_002,2026-03-08,33.67,3437,66,9,0.01920,3.7413,9.7968,0.5102,0.13636,,,,,,,,,12,1,2,1
ad_002,2026-03-09,44.34,4625,93,14,0.02011,3.1675,9.5880,0.4768,0.15054,,,,,,,,,18,1,3,2
ad_002,2026-03-10,38.28,4425,97,13,0.02192,2.9449,8.6516,0.3947,0.13402,,,,,,,,,19,1,3,2
ad_002,2026-03-11,41.53,5208,111,16,0.02131,2.5957,7.9746,0.3742,0.14414,,,,,,,,,23,1,4,2
ad_002,2026-03-12,45.06,4926,113,18,0.02294,2.5036,9.1483,0.3988,0.15929,,,,,,,,,24,1,4,2
ad_002,2026-03-13,43.52,4581,83,12,0.01812,3.6264,9.4993,0.5243,0.14458,,,,,,,,,19,1,3,2
ad_002,2026-03-14,45.19,5131,87,12,0.01696,3.7661,8.8078,0.5195,0.13793,,,,,,,,,17,1,3,2
ad_002,2026-03-15,36.12,4666,97,15,0.02079,2.4083,7.7421,0.3724,0.15464,,,,,,,,,22,1,4,2
ad_002,2026-03-16,44.93,4953,107,15,0.02160,2.9954,9.0715,0.4199,0.14019,,,,,,,,,22,2,4,3
ad_002,2026-03-17,45.92,4881,108,17,0.02213,2.7010,9.4073,0.4252,0.15741,,,,,,,,,25,2,5,3
ad_002,2026-03-18,58.88,7556,157,23,0.02078,2.5602,7.7931,0.3751,0.14650,,,,,,,,,33,3,7,3
ad_002,2026-03-19,62.29,7599,143,23,0.01882,2.7084,8.1977,0.4356,0.16084,,,,,,,,,29,2,5,3
ad_002,2026-03-20,53.81,7372,173,27,0.02347,1.9928,7.2986,0.3110,0.15607,,,,,,,,,36,2,8,3
ad_002,2026-03-21,52.26,6927,149,19,0.02151,2.7506,7.5445,0.3507,0.12752,,,,,,,,,31,2,7,3
ad_002,2026-03-22,60.55,6875,147,21,0.02138,2.8833,8.8072,0.4119,0.14286,,,,,,,,,30,2,7,2
ad_002,2026-03-23,54.41,6023,116,17,0.01926,3.2007,9.0340,0.4691,0.14655,,,,,,,,,26,1,5,2
ad_002,2026-03-24,66.42,8204,176,28,0.02145,2.3722,8.0963,0.3774,0.15909,,,,,,,,,34,2,7,3
ad_002,2026-03-25,64.03,7568,169,25,0.02233,2.5611,8.4602,0.3789,0.14793,,,,,,,,,38,2,9,4
ad_002,2026-03-26,69.68,7506,157,27,0.02092,2.5807,9.2831,0.4438,0.17197,,,,,,,,,30,2,6,2
ad_002,2026-03-27,66.68,7935,168,27,0.02117,2.4698,8.4038,0.3969,0.16071,,,,,,,,,32,2,4,4
ad_002,2026-03-28,57.02,6567,147,22,0.02238,2.5918,8.6826,0.3879,0.14966,,,,,,,,,28,2,5,3
ad_002,2026-03-29,67.86,8264,157,23,0.01900,2.9506,8.2119,0.4322,0.14650,,,,,,,,,33,2,7,3
ad_002,2026-03-30,69.88,8685,198,30,0.02280,2.3295,8.0465,0.3529,0.15152,,,,,,,,,39,2,7,3
ad_002,2026-03-31,73.20,8964,205,34,0.02287,2.1529,8.1660,0.3571,0.16585,,,,,,,,,48,3,10,5
ad_002,2026-04-01,73.34,7791,184,30,0.02362,2.4445,9.4128,0.3986,0.16304,,,,,,,,,35,2,6,3
ad_002,2026-04-02,59.06,5724,116,18,0.02027,3.2810,10.3176,0.5091,0.15517,,,,,,,,,29,2,6,4
ad_002,2026-04-03,80.07,9909,212,31,0.02139,2.5829,8.0806,0.3777,0.14623,,,,,,,,,53,4,10,4
ad_002,2026-04-04,72.57,9085,200,29,0.02201,2.5026,7.9883,0.3629,0.14500,,,,,,,,,41,3,8,5
ad_002,2026-04-05,79.15,10437,228,35,0.02185,2.2614,7.5836,0.3472,0.15351,,,,,,,,,47,3,9,4
ad_002,2026-04-06,81.37,10499,257,39,0.02448,2.0865,7.7504,0.3166,0.15175,,,,,,,,,57,4,12,5
ad_002,2026-04-07,88.29,11573,236,40,0.02039,2.2072,7.6287,0.3741,0.16949,,,,,,,,,48,3,8,5
ad_002,2026-04-08,103.40,11366,243,39,0.02138,2.6512,9.0971,0.4255,0.16049,,,,,,,,,55,3,10,5
ad_002,2026-04-09,80.77,9277,200,34,0.02156,2.3756,8.7067,0.4039,0.17000,,,,,,,,,50,3,8,4
ad_002,2026-04-10,95.84,10641,232,40,0.02180,2.3961,9.0070,0.4131,0.17241,,,,,,,,,51,3,10,5
ad_002,2026-04-11,93.08,12054,271,45,0.02248,2.0685,7.7221,0.3435,0.16605,,,,,,,,,50,3,10,4
ad_002,2026-04-12,83.82,9865,255,35,0.02585,2.3949,8.4969,0.3287,0.13725,,,,,,,,,60,4,7,7
ad_002,2026-04-13,100.97,10653,229,42,0.02150,2.4041,9.4783,0.4409,0.18341,,,,,,,,,52,3,8,6
ad_002,2026-04-14,119.91,15977,419,73,0.02623,1.6427,7.5054,0.2862,0.17422,,,,,,,,,103,6,15,13
ad_002,2026-04-15,131.81,17083,385,64,0.02254,2.0596,7.7160,0.3424,0.16623,,,,,,,,,73,5,11,8
ad_002,2026-04-16,106.85,13140,300,46,0.02283,2.3229,8.1320,0.3562,0.15333,,,,,,,,,58,3,10,7
ad_002,2026-04-17,100.62,13137,276,41,0.02101,2.4541,7.6591,0.3646,0.14855,,,,,,,,,58,4,10,5
ad_002,2026-04-18,97.57,11594,265,41,0.02286,2.3798,8.4156,0.3682,0.15472,,,,,,,,,51,4,11,5
ad_002,2026-04-19,103.99,12974,283,45,0.02181,2.3109,8.0153,0.3675,0.15901,,,,,,,,,63,4,13,7
ad_002,2026-04-20,132.87,16742,409,70,0.02443,1.8981,7.9361,0.3249,0.17115,,,,,,,,,81,5,16,12
ad_002,2026-04-21,109.83,13666,325,56,0.02378,1.9612,8.0366,0.3379,0.17231,,,,,,,,,68,4,12,7
ad_002,2026-04-22,111.59,13991,327,55,0.02337,2.0289,7.9759,0.3413,0.16820,,,,,,,,,54,3,10,6
ad_002,2026-04-23,101.68,15384,371,61,0.02412,1.6670,6.6097,0.2741,0.16442,,,,,,,,,80,4,15,8
ad_002,2026-04-24,103.04,11796,292,50,0.02475,2.0609,8.7354,0.3529,0.17123,,,,,,,,,57,3,11,5
ad_002,2026-04-25,113.57,12566,309,42,0.02459,2.7039,9.0375,0.3675,0.13592,,,,,,,,,69,4,9,7
ad_002,2026-04-26,115.19,13236,316,42,0.02387,2.7425,8.7024,0.3645,0.13291,,,,,,,,,55,4,13,5
ad_002,2026-04-27,129.13,17495,402,65,0.02298,1.9865,7.3807,0.3212,0.16169,,,,,,,,,83,4,12,9
ad_002,2026-04-28,139.22,16640,390,63,0.02344,2.2099,8.3667,0.3570,0.16154,,,,,,,,,86,5,19,6
ad_002,2026-04-29,147.11,17580,456,70,0.02594,2.1016,8.3681,0.3226,0.15351,,,,,,,,,87,5,14,9
ad_002,2026-04-30,119.73,14508,319,59,0.02199,2.0292,8.2524,0.3753,0.18495,,,,,,,,,59,4,12,7
ad_002,2026-05-01,132.55,16561,407,66,0.02458,2.0083,8.0035,0.3257,0.16216,,,,,,,,,83,5,16,9
ad_002,2026-05-02,114.39,12197,276,44,0.02263,2.5998,9.3786,0.4145,0.15942,,,,,,,,,48,3,7,5
ad_002,2026-05-03,111.81,13852,340,53,0.02455,2.1095,8.0715,0.3288,0.15588,,,,,,,,,70,3,14,8
ad_002,2026-05-04,141.41,16717,385,66,0.02303,2.1425,8.4589,0.3673,0.17143,,,,,,,,,80,5,15,8
ad_002,2026-05-05,147.32,18147,470,78,0.02590,1.8887,8.1180,0.3134,0.16596,,,,,,,,,94,6,17,9
ad_002,2026-05-06,142.04,16792,379,61,0.02257,2.3286,8.4589,0.3748,0.16095,,,,,,,,,75,4,10,8
ad_002,2026-05-07,162.87,20552,506,75,0.02462,2.1716,7.9249,0.3219,0.14822,,,,,,,,,86,6,13,8
ad_002,2026-05-08,117.95,14608,353,56,0.02416,2.1062,8.0740,0.3341,0.15864,,,,,,,,,68,4,15,8
ad_002,2026-05-09,92.77,11038,261,44,0.02365,2.1084,8.4048,0.3554,0.16858,,,,,,,,,56,4,11,5
ad_002,2026-05-10,133.52,15643,348,45,0.02225,2.9672,8.5357,0.3837,0.12931,,,,,,,,,67,4,12,9
ad_002,2026-05-11,162.25,18710,457,69,0.02443,2.3514,8.6717,0.3550,0.15098,,,,,,,,,89,6,12,11
ad_002,2026-05-12,115.72,14080,337,56,0.02393,2.0664,8.2187,0.3434,0.16617,,,,,,,,,68,4,12,6
ad_002,2026-05-13,145.30,16134,377,60,0.02337,2.4217,9.0061,0.3854,0.15915,,,,,,,,,68,4,12,8
ad_002,2026-05-14,138.25,17125,399,69,0.02330,2.0037,8.0731,0.3465,0.17293,,,,,,,,,79,4,14,9
ad_002,2026-05-15,132.56,15257,372,64,0.02438,2.0712,8.6882,0.3563,0.17204,,,,,,,,,88,5,16,8
ad_002,2026-05-16,142.26,20115,439,66,0.02182,2.1554,7.0722,0.3241,0.15034,,,,,,,,,93,6,16,10
ad_002,2026-05-17,135.22,15570,397,59,0.02550,2.2918,8.6844,0.3406,0.14861,,,,,,,,,75,4,14,8
ad_002,2026-05-18,141.23,16646,403,68,0.02421,2.0770,8.4846,0.3505,0.16873,,,,,,,,,84,5,17,10
ad_002,2026-05-19,150.46,16176,361,62,0.02232,2.4268,9.3015,0.4168,0.17175,,,,,,,,,71,5,13,6
ad_002,2026-05-20,187.21,22660,567,92,0.02502,2.0348,8.2615,0.3302,0.16226,,,,,,,,,115,7,21,12
ad_002,2026-05-21,159.07,20390,422,62,0.02070,2.5656,7.8013,0.3769,0.14692,,,,,,,,,93,4,16,11
ad_002,2026-05-22,149.12,17501,405,66,0.02314,2.2594,8.5205,0.3682,0.16296,,,,,,,,,86,6,14,8
ad_002,2026-05-23,127.64,17398,371,58,0.02132,2.2007,7.3366,0.3441,0.15633,,,,,,,,,65,4,12,7
ad_002,2026-05-24,159.33,18140,422,59,0.02326,2.7004,8.7831,0.3776,0.13981,,,,,,,,,94,5,13,6
ad_002,2026-05-25,172.58,20530,536,84,0.02611,2.0545,8.4061,0.3220,0.15672,,,,,,,,,114,8,23,11
ad_002,2026-05-26,177.45,24455,548,86,0.02241,2.0633,7.2561,0.3238,0.15693,,,,,,,,,112,7,10,13
ad_002,2026-05-27,181.34,22927,475,82,0.02072,2.2115,7.9095,0.3818,0.17263,,,,,,,,,101,7,21,8
ad_002,2026-05-28,152.67,18295,406,71,0.02219,2.1503,8.3449,0.3760,0.17488,,,,,,,,,70,5,12,8
ad_002,2026-05-29,179.21,19881,449,72,0.02258,2.4890,9.0142,0.3991,0.16036,,,,,,,,,103,7,20,12
ad_003,2026-03-01,44.60,4925,92,22,0.01868,2.0273,9.0559,0.4848,0.23913,,,,0.3741,0.1934,,,,20,2,4,2
ad_003,2026-03-02,61.71,6699,128,32,0.01911,1.9286,9.2124,0.4821,0.25000,,,,0.4084,0.2174,,,,22,1,3,2
ad_003,2026-03-03,56.06,7236,136,30,0.01879,1.8685,7.7469,0.4122,0.22059,,,,0.3931,0.1992,,,,27,1,5,3
ad_003,2026-03-04,65.05,7903,143,30,0.01809,2.1683,8.2309,0.4549,0.20979,,,,0.4002,0.2267,,,,29,2,6,3
ad_003,2026-03-05,57.29,5658,102,23,0.01803,2.4907,10.1250,0.5616,0.22549,,,,0.4309,0.2153,,,,21,1,3,2
ad_003,2026-03-06,64.71,7180,143,30,0.01992,2.1571,9.0129,0.4525,0.20979,,,,0.4376,0.2096,,,,29,1,4,3
ad_003,2026-03-07,58.44,6234,112,24,0.01797,2.4351,9.3747,0.5218,0.21429,,,,0.4264,0.2156,,,,23,1,4,3
ad_003,2026-03-08,60.98,7215,132,29,0.01830,2.1026,8.4513,0.4619,0.21970,,,,0.3810,0.2247,,,,27,1,4,3
ad_003,2026-03-09,60.73,7045,129,30,0.01831,2.0244,8.6207,0.4708,0.23256,,,,0.4215,0.2043,,,,28,2,5,4
ad_003,2026-03-10,95.11,11663,218,54,0.01869,1.7614,8.1553,0.4363,0.24771,,,,0.3768,0.1973,,,,47,3,9,5
ad_003,2026-03-11,77.11,8635,162,40,0.01876,1.9277,8.9295,0.4760,0.24691,,,,0.4329,0.1879,,,,25,1,4,3
